,season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
4783,2017,3919609,Jalen McCleskey,WR,Oklahoma State,Big 12,56,0.615,0.615,NA,0.499,0.456,1.28,0.508,1.007,34.413,34.413,NA,16.961,5.929,11.523,22.335,12.078
4822,2017,3121410,Parris Campbell,WR,Ohio State,Big Ten,56,0.641,0.593,0.86,0.401,1.283,0.755,0.573,0.808,35.873,27.268,8.604,12.03,16.684,9.057,22.94,12.933
4853,2017,4036131,Noah Fant,TE,Iowa,Big Ten,56,0.667,0.716,-0.665,0.617,0.63,0.637,0.623,0.739,37.342,38.672,-1.33,11.106,8.19,12.104,21.816,15.526
5115,2017,545319,Cam Serigne,TE,Wake Forest,ACC,56,0.96,0.96,NA,1.105,0.488,1.049,1.07,0.801,53.742,53.742,NA,27.614,7.806,14.683,35.323,18.419
5931,2018,4363050,Gino Appleberry Jr.,RB,Western Kentucky,Conference USA,56,0.034,0.29,0.015,0.012,0.006,0.785,0.027,0.088,1.918,1.159,0.759,0.364,0.089,6.282,1.3,0.618
6421,2018,4039009,Sean McGrew,RB,Washington,Pac-12,56,0.221,1.632,0.02,0.129,-0.024,1.423,0.146,0.617,12.399,11.422,0.978,3.985,-0.465,7.117,6.849,5.55
6510,2018,4240251,Bryson Smith,WR,Houston,American Athletic,56,0.261,0.496,-0.277,0.056,0.201,0.802,-0.045,1.027,14.621,19.328,-4.707,1.522,4.015,6.419,-1.807,16.428
6784,2018,4360314,Lyn-J Dixon,RB,Clemson,ACC,56,0.38,3.744,0.318,0.37,0.085,1.903,0.428,0.233,21.252,3.744,17.508,9.612,2.124,9.516,17.984,3.268
6956,2018,3920819,Quinton Maxwell,QB,Ohio,Mid-American,56,0.47,0.35,0.702,0.338,0.55,0.509,0.362,0.637,26.299,12.967,13.332,6.082,11.559,8.657,12.292,14.007
7098,2018,3916124,Dalton Schoen,WR,Kansas State,Big 12,56,0.543,0.543,NA,0.497,0.41,0.764,0.341,0.695,30.42,30.42,NA,9.437,6.969,12.984,8.19,22.23
7400,2018,4374169,Tyleek Collins,WR,UNLV,Mountain West,56,0.759,0.817,0.546,0.895,0.237,1.172,0.934,0.596,42.499,35.952,6.547,14.321,4.746,23.432,25.206,17.293
7419,2018,3923392,Mitchell Wilcox,TE,South Florida,American Athletic,56,0.774,0.774,NA,0.331,0.565,1.511,0.572,1.063,43.336,43.336,NA,6.297,11.306,24.169,18.879,24.457
7442,2018,4360637,Jeshaun Jones,WR,Maryland,Big Ten,56,0.792,0.818,0.736,0.191,1.056,1.051,0.388,1.117,44.33,31.074,13.256,3.248,19.014,22.068,9.701,34.63
8234,2019,4037293,Lucas Johnson,QB,Georgia Tech,ACC,56,-0.083,-0.119,-0.001,-0.169,0.17,-0.188,-0.179,0.035,-4.676,-4.656,-0.02,-4.217,2.554,-3.013,-5.561,0.885
