,season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
5960,2018,4367180,Kazmeir Allen,RB,UCLA,Pac-12,38,0.045,0.112,0.024,-0.373,0.334,0.37,0.081,0,1.704,1.009,0.695,-5.967,4.344,3.327,1.704,0
5976,2018,4242504,Johnny Johnson III,WR,Oregon,Pac-12,38,0.056,0.056,NA,-0.133,0.273,-0.24,-0.423,0.589,2.125,2.125,NA,-1.061,5.194,-2.16,-8.468,10.594
6049,2018,4243276,Todd Centeio,QB,Temple,American Athletic,38,0.087,0.103,0.07,-0.318,-0.243,1.292,0.014,0.245,3.294,1.966,1.328,-4.45,-3.402,9.045,0.358,2.936
6070,2018,3134689,Brandon Sowards,WR,Michigan State,Big Ten,38,0.093,0.106,-0.407,0.236,0.043,-0.059,0.188,-0.039,3.518,3.925,-0.407,3.544,0.561,-0.587,4.14,-0.622
6099,2018,3700815,Kendall Hinton,WR,Wake Forest,ACC,38,0.103,-0.273,0.442,-0.086,0.348,0.039,-0.046,0.332,3.929,-4.918,8.847,-1.29,4.868,0.351,-1.051,4.981
6849,2018,3929645,Juwan Johnson,WR,Penn State,Big Ten,38,0.414,0.414,NA,0.606,0.244,0.573,0.399,0.435,15.735,15.735,NA,8.478,2.445,7.447,8.768,6.968
7101,2018,4048659,Elijah Lilly,WR,New Mexico,Mountain West,38,0.544,0.679,-0.051,0.429,0.877,0.459,0.531,0.567,20.676,21.036,-0.36,7.728,7.897,5.052,12.74,7.936
7218,2018,4040623,Austin Mack,WR,Ohio State,Big Ten,38,0.615,0.615,NA,0.475,0.594,0.775,0.623,0.601,23.385,23.385,NA,6.173,7.131,10.081,15.577,7.809
7407,2018,4243247,Jaylen Dixon,WR,Utah,Pac-12,38,0.768,0.803,-0.53,0.741,0.707,0.991,0.653,0.988,29.185,29.715,-0.53,13.346,9.893,5.946,16.335,12.85
7580,2018,3909123,Rashad Medaris,WR,Cincinnati,American Athletic,38,0.931,0.931,NA,0.448,0.916,1.356,0.792,1.07,35.375,35.375,NA,4.929,12.82,17.626,15.043,20.332
7698,2018,3139923,Fred Trevillion,WR,San Diego State,Mountain West,38,1.164,1.37,-1.243,2.413,-0.061,1.063,1.747,0.74,44.234,47.962,-3.728,28.954,-0.672,15.952,27.948,16.286
8579,2019,3923382,Brett Kean,QB,Charlotte,Conference USA,38,0.1,0.158,-0.062,-0.107,-0.235,0.157,0.083,0.114,3.801,4.421,-0.62,-1.279,-2.815,1.883,1.413,2.387
8638,2019,4242556,Osiris St. Brown,WR,Stanford,Pac-12,38,0.118,0.099,0.46,0.196,-0.009,0.181,-0.01,0.598,4.498,3.577,0.921,3.532,-0.122,1.088,-0.286,4.784
8734,2019,3921979,Marcus Jones,RB,Northern Illinois,Mid-American,38,0.153,0.422,-0.044,-0.223,0.108,0.707,0.045,0.286,5.798,6.758,-0.96,-2.893,1.624,7.067,0.94,4.858
8875,2019,4373642,Dax Milne,WR,BYU,FBS Independents,38,0.202,0.225,0.009,0.347,0.003,0.542,0.107,0.385,7.685,7.65,0.035,5.545,0.033,5.416,2.679,5.006
9165,2019,4259240,Savon Scarver,WR,Utah State,Mountain West,38,0.318,0.318,NA,0.048,0.007,1.04,0.073,0.563,12.072,12.072,NA,0.524,0.109,11.439,1.38,10.692
9172,2019,4255713,Randall St. Felix,WR,South Florida,American Athletic,38,0.32,0.32,NA,0.241,0.268,0.265,0.394,0.253,12.148,12.148,NA,3.133,4.561,1.855,7.093,5.055
9351,2019,4569953,Robert Downs III,WR,New Mexico State,FBS Independents,38,0.404,0.404,NA,0.149,0.311,0.814,0.172,0.614,15.363,15.363,NA,1.786,5.294,6.516,3.089,12.273
9546,2019,4430714,Reese White,RB,Coastal Carolina,Sun Belt,38,0.505,1.628,0.335,0.324,0.338,0.688,0.396,1.776,19.188,8.14,11.048,4.863,4.4,5.501,13.86,5.328
9555,2019,4365503,Kevin Shaa,WR,Liberty,FBS Independents,38,0.512,0.512,NA,0.345,0.134,1.331,0.522,0.492,19.452,19.452,NA,5.865,1.61,11.977,13.05,6.402
9891,2019,3919558,Jack Freudenthal,TE,Wake Forest,ACC,38,0.718,0.718,NA,0.361,0.775,1.408,0.61,0.98,27.266,27.266,NA,5.78,11.631,9.855,16.483,10.783
9924,2019,4258509,Camden Harrison,WR,Army,FBS Independents,38,0.751,0.751,NA,0.897,0.688,0.766,0.823,0.679,28.535,28.535,NA,12.554,8.941,6.129,15.636,12.899
215,2014,3127207,Vic Enwere,RB,California,Pac-12,37,0.118,-0.16,0.142,0.11,0.226,0.203,0.167,-0.201,4.35,-0.481,4.831,1.877,2.034,1.42,5.353,-1.003
276,2014,545840,Kyler Neal,RB,Georgia State,Sun Belt,37,0.261,2.011,0.049,0.169,0.559,-0.522,0.226,0.442,9.651,8.045,1.606,3.385,7.833,-1.567,6.998,2.653
286,2014,3124972,Andrew Allen,QB,New Mexico State,FBS Independents,37,0.279,0.216,0.327,0.325,0.617,-0.085,0.188,0.365,10.318,3.457,6.861,4.556,6.786,-1.024,3.379,6.94
289,2014,3116390,Michiah Quick,WR,Oklahoma,Big 12,37,0.284,0.344,-0.207,-0.126,0.739,0.468,-0.08,0.63,10.521,11.349,-0.828,-2.013,7.388,5.146,-1.441,11.962
301,2014,559559,Brandon Powell,WR,Florida,SEC,37,0.31,0.422,0.163,-0.02,0.412,0.936,0.119,0.906,11.476,8.863,2.613,-0.32,6.182,5.614,3.32,8.156
352,2014,3123075,Braxton Berrios,WR,Miami,ACC,37,0.457,0.457,NA,0.055,0.47,0.264,0.152,1.18,16.925,16.925,NA,0.663,4.695,3.171,3.943,12.982
370,2014,546345,Brice Ramsey,QB,Georgia,SEC,37,0.544,0.544,NA,-0.621,0.976,1.556,-0.031,1.388,20.134,20.134,NA,-8.076,10.734,18.674,-0.688,20.822
376,2014,3121398,De'Mornay Pierson-El,WR,Nebraska,Big Ten,37,0.583,0.823,-0.656,0.622,0.654,0.779,0.16,1.364,21.586,25.52,-3.935,8.706,8.503,7.01,3.848,17.738
563,2015,3914549,Kesean Strong,RB,Old Dominion,Conference USA,37,-0.147,-0.321,-0.053,-0.338,-0.055,0.186,-0.213,-0.051,-5.435,-4.171,-1.265,-5.067,-0.601,1.675,-4.676,-0.759
600,2015,3125259,Dallas Davis,QB,South Alabama,Sun Belt,37,-0.067,-0.12,0.207,-0.679,-0.226,0.5,-0.314,0.296,-2.471,-3.711,1.24,-8.152,-2.258,5.996,-6.912,4.442
687,2015,546063,Marchie Murdock,WR,Illinois,Big Ten,37,0.04,0.018,0.85,0.183,-0.017,0.265,0.107,-0.099,1.486,0.636,0.85,3.108,-0.155,2.645,2.675,-1.189
694,2015,550316,Lavon Coleman,RB,Washington,Pac-12,37,0.051,0.505,-0.004,-0.247,0.845,0.057,-0.253,0.871,1.89,2.019,-0.129,-4.701,10.134,0.285,-6.82,8.71
775,2015,3916451,Dontae Strickland,RB,Syracuse,ACC,37,0.13,0.402,-0.078,0.4,-0.136,0.122,0.335,-0.112,4.795,6.438,-1.643,5.596,-1.9,1.099,6.705,-1.909
1094,2015,552062,Da'Mari Scott,WR,Fresno State,Mountain West,37,0.47,0.489,-0.213,1.075,0.14,0.898,0.515,0.439,17.38,17.593,-0.213,7.522,2.098,11.674,7.72,9.66
1157,2015,546546,Josh Walker Smith,WR,Tennessee,SEC,37,0.579,0.579,NA,0.143,0.08,0.926,0.181,0.999,21.41,21.41,NA,2.14,0.558,12.968,3.434,17.976
1514,2016,3931401,Cameron Scarlett,RB,Stanford,Pac-12,37,-0.233,NA,-0.233,-0.343,0.081,-0.326,-0.334,0.08,-8.637,NA,-8.637,-4.804,1.051,-2.932,-9.361,0.723
1639,2016,4040967,B.J. Emmons,RB,Alabama,SEC,37,-0.031,0.604,-0.068,0.108,0.443,-0.234,-0.007,-0.109,-1.16,1.208,-2.368,2.053,4.872,-1.17,-0.183,-0.977
1694,2016,3123944,Qadree Ollison,RB,Pittsburgh,ACC,37,0.024,0.083,0.014,0.183,-0.146,-0.307,0.107,-0.407,0.877,0.417,0.46,4.034,-1.312,-1.844,3.32,-2.443
2004,2016,3932440,C.J. Sanders,WR,Notre Dame,FBS Independents,37,0.202,0.217,0.077,0.586,-0.025,0.368,0.266,0.096,7.456,7.147,0.309,7.624,-0.402,2.211,6.118,1.337
2020,2016,3117256,Dalton Schultz,TE,Stanford,Pac-12,37,0.21,0.116,3.598,-0.324,0.104,1.35,-0.164,0.989,7.773,4.175,3.598,-5.514,1.139,12.149,-4.094,11.867
2237,2016,4035853,Jordan Veasy,WR,California,Pac-12,37,0.346,0.346,NA,0.157,0.86,0.08,0.246,0.477,12.81,12.81,NA,2.043,12.042,0.722,5.175,7.636
2308,2016,549806,Marcus Baugh,TE,Ohio State,Big Ten,37,0.4,0.4,NA,0.108,0.265,1.769,0.024,1.094,14.805,14.805,NA,1.72,4.24,8.845,0.585,14.22
2607,2016,3124056,Brady Jones,WR,UT San Antonio,Conference USA,37,0.672,0.712,-0.763,-0.034,0.753,0.945,0.345,1.056,24.858,25.621,-0.763,-0.307,9.793,11.344,6.9,17.958
2643,2016,3139946,Mikah Holder,WR,San Diego State,Mountain West,37,0.726,0.726,NA,0.439,0.245,1.422,0.536,1.318,26.87,26.87,NA,8.335,1.47,17.066,15.012,11.858
2659,2016,3116182,DeAndre Thompkins,WR,Penn State,Big Ten,37,0.743,0.743,NA,0.749,0.641,0.726,0.656,0.845,27.494,27.494,NA,11.988,10.25,2.177,13.123,14.371
3136,2017,3122708,Trey Rodriguez,RB,Marshall,Conference USA,37,-0.235,0.16,-0.283,-0.247,-0.476,0.774,-0.182,-0.402,-8.713,0.639,-9.352,-4.195,-7.613,3.095,-5.096,-3.617
3149,2017,4044453,Trevor Speights,RB,Stanford,Pac-12,37,-0.203,-0.789,-0.17,-0.175,-0.35,0.106,-0.209,-0.185,-7.518,-1.577,-5.94,-3.144,-4.905,0.531,-5.854,-1.664
3212,2017,4240455,Deon Jackson,RB,Duke,ACC,37,-0.128,-0.578,-0.058,-0.318,-0.388,0.756,-0.016,-0.535,-4.744,-2.889,-1.855,-5.731,-4.651,4.536,-0.461,-4.283
3340,2017,4035607,Amir Rasul,RB,Florida State,ACC,37,-0.027,-0.137,-0.009,0.067,-0.138,-0.431,-0.083,0.213,-0.987,-0.686,-0.301,1.535,-1.659,-0.862,-2.48,1.493
3365,2017,3918048,Dejonte O'Neal,RB,Fresno State,Mountain West,37,-0.012,0.543,-0.278,-0.066,0.055,0.022,-0.118,0.239,-0.429,6.518,-6.947,-1.248,0.71,0.109,-3.059,2.63
3949,2017,3917793,Quentin Harris,QB,Duke,ACC,37,0.217,0.488,0.102,0.061,0.035,0.428,0.242,0.15,8.023,5.373,2.65,0.727,0.35,5.569,6.521,1.502
4092,2017,3914182,Deondre Farrier,WR,East Carolina,American Athletic,37,0.269,0.242,0.745,0.564,0.053,0.297,0.316,0.159,9.965,8.474,1.491,7.895,0.691,2.076,8.212,1.754
4271,2017,559748,Ethan Wolf,TE,Tennessee,SEC,37,0.348,0.348,NA,0.79,0.146,0.561,0.579,0.008,12.861,12.861,NA,9.479,1.609,6.73,12.743,0.118
4477,2017,3921918,Tyraiq Beals,WR,Connecticut,American Athletic,37,0.446,0.471,0.01,-0.045,0.47,0.827,0.336,0.842,16.493,16.472,0.021,-0.534,7.514,6.614,9.754,6.739
4510,2017,3124663,Chris Davis Jr.,WR,New Mexico,Mountain West,37,0.46,0.46,NA,-0.112,1.295,-0.082,0.24,0.783,17.02,17.02,NA,-1.787,16.835,-0.574,5.281,11.739
4573,2017,3895431,Traveon Samuel,WR,Louisville,ACC,37,0.489,0.419,1.278,0.252,0.354,1.026,0.226,0.921,18.082,14.249,3.833,4.283,3.541,10.258,5.188,12.894
4580,2017,4048099,Samson Nacua,WR,Utah,Pac-12,37,0.496,0.518,-0.296,0.151,1.109,0.594,0.356,0.874,18.345,18.64,-0.296,3.177,12.198,2.97,9.603,8.742
4629,2017,549971,Jordan Cunningham,WR,North Carolina,ACC,37,0.522,0.522,NA,0.102,0.571,1.109,0.619,0.394,19.308,19.308,NA,1.017,7.997,8.874,12.998,6.309
4644,2017,559668,Jesse Jackson,WR,Mississippi State,SEC,37,0.529,0.56,-0.015,0.279,0.434,0.906,0.284,0.817,19.577,19.607,-0.03,3.352,5.637,9.062,5.681,13.896
5045,2017,545681,Shane Tucker,RB,Middle Tennessee,Conference USA,37,0.853,0.949,-0.238,0.919,0.781,0.568,1.008,0.734,31.549,32.261,-0.713,11.951,7.032,7.389,16.125,15.424
5096,2017,3124042,Kerry Thomas Jr.,WR,UT San Antonio,Conference USA,37,0.936,1.004,-0.258,1.054,0.366,1.36,0.961,0.889,34.614,35.131,-0.516,17.919,4.757,8.16,23.053,11.561
5138,2017,4035170,Marquez Callaway,WR,Tennessee,SEC,37,0.996,0.968,2.028,0.797,0.81,1.592,0.638,1.375,36.864,34.837,2.028,8.762,13.775,14.328,12.118,24.746
5416,2018,4240142,Alex Ramart,QB,Akron,Mid-American,37,-0.874,-0.894,-0.65,-1.587,0.068,-0.98,-1.555,-0.23,-32.348,-30.399,-1.949,-20.636,0.684,-12.744,-27.981,-4.367
5696,2018,4259359,Colin Wilson,RB,Louisville,ACC,37,-0.119,-0.766,0.006,-0.211,0.024,0.476,-0.27,0.426,-4.42,-4.596,0.176,-4.003,0.243,3.335,-7.829,3.409
5739,2018,547164,Quinn Shanbour,QB,North Texas,Conference USA,37,-0.078,-0.244,0.079,-0.109,0.32,0.274,0.074,-0.257,-2.884,-4.391,1.506,-1.632,3.201,2.469,1.481,-4.365
5773,2018,3923382,Brett Kean,QB,South Florida,American Athletic,37,-0.051,-0.008,-0.815,0.098,0.031,-0.319,0.14,-0.276,-1.901,-0.27,-1.63,1.171,0.439,-3.51,2.797,-4.697
6650,2018,4241004,Thomas Hennigan,WR,Appalachian State,Sun Belt,37,0.32,0.36,-0.378,0.117,0.388,-0.04,0.395,0.209,11.834,12.589,-0.755,1.284,6.989,-0.278,8.693,3.142
6719,2018,3915821,Tony Brown,WR,Colorado,Pac-12,37,0.349,0.349,NA,0.059,0.536,0.401,0.021,0.627,12.897,12.897,NA,0.711,8.578,3.607,0.352,12.545
6895,2018,559747,Daniel Helm,TE,Duke,ACC,37,0.438,0.438,NA,0.264,1.068,0.627,0.352,0.54,16.212,16.212,NA,3.702,8.548,8.157,7.038,9.174
6926,2018,4239406,Blake Proehl,WR,East Carolina,American Athletic,37,0.452,0.459,0.206,0.229,0.064,0.85,0.406,0.501,16.73,16.524,0.206,3.44,0.578,10.194,7.709,9.021
7261,2018,4362706,Stephen Guidry,WR,Mississippi State,SEC,37,0.654,0.654,NA,0.261,0.775,1.331,0.237,1.339,24.192,24.192,NA,4.175,6.203,15.975,5.445,18.747
7384,2018,3915333,Luke Mayock,WR,Miami (OH),Mid-American,37,0.749,0.749,NA,0.348,-0.313,1.811,0.317,1.382,27.704,27.704,NA,5.567,-2.818,18.108,6.98,20.724
7501,2018,3917117,Delane Hart-Johnson,WR,New Mexico,Mountain West,37,0.84,0.84,NA,0.664,0.856,1.558,0.739,0.987,31.065,31.065,NA,9.295,10.274,15.58,16.263,14.802
7578,2018,3917849,Lawrence Cager,WR,Miami,ACC,37,0.928,0.928,NA,0.016,1.325,1.441,0.411,1.417,34.328,34.328,NA,0.203,13.25,15.854,7.407,26.922
7626,2018,4262183,Kailon Carter,WR,UAB,Conference USA,37,1.001,1,1.027,0.696,1.221,1.004,0.507,1.337,37.019,35.992,1.027,7.659,18.312,11.048,7.607,29.412
8139,2019,4240603,Malik Davis,RB,Florida,SEC,37,-0.164,0.126,-0.221,-0.247,-0.238,0.233,-0.164,-0.165,-6.081,0.756,-6.837,-4.2,-4.047,0.466,-4.262,-1.819
8280,2019,4570512,Tylan Morton,QB,South Alabama,Sun Belt,37,-0.048,-0.137,0.192,-0.328,0.147,0.514,-0.026,-0.073,-1.766,-3.69,1.924,-3.61,1.618,5.659,-0.521,-1.245
8439,2019,4035588,Jack Lindsey,QB,Arkansas,SEC,37,0.041,-0.045,0.409,0.092,-0.004,0.221,-0.163,0.465,1.507,-1.358,2.864,1.741,-0.043,1.544,-4.075,5.582
8537,2019,4374303,JT Daniels,QB,USC,Pac-12,37,0.08,0.089,-0.08,-0.1,0.295,0.285,0.104,0.007,2.962,3.122,-0.16,-1.99,3.244,1.708,2.899,0.063
8630,2019,3914826,Kelton Moore,RB,Nevada,Mountain West,37,0.115,-0.308,0.214,-0.034,-0.051,0.497,0.42,-0.385,4.267,-2.158,6.426,-0.508,-0.72,3.482,9.652,-5.385
9272,2019,3933180,Chauncey Mason,RB,Florida Atlantic,Conference USA,37,0.365,1.232,0.197,-0.396,0.399,1.28,-0.162,1.137,13.49,7.392,6.097,-5.144,5.184,11.516,-3.562,17.052
9308,2019,3933311,Darren Woods Jr.,WR,UNLV,Mountain West,37,0.382,0.382,NA,0.128,0.498,0.701,0.06,0.722,14.143,14.143,NA,1.922,6.468,4.91,1.146,12.997
9492,2019,4245699,Nathan Tilford,RB,Arizona,Pac-12,37,0.483,-0.046,0.498,0.364,0.009,0.878,0.587,-0.375,17.869,-0.046,17.915,6.92,0.107,2.634,19.37,-1.501
9609,2019,4249535,Donny Navarro,WR,Illinois,Big Ten,37,0.542,0.549,0.28,0.371,0.667,0.83,0.304,0.891,20.057,19.777,0.28,7.412,6.007,6.637,6.685,13.371
9751,2019,3931426,Cedric Peterson,WR,Arizona,Pac-12,37,0.621,0.621,NA,0.509,0.704,0.708,0.46,0.832,22.978,22.978,NA,8.151,7.745,7.082,9.661,13.317
9753,2019,4243984,Zack Dobson,WR,Middle Tennessee,Conference USA,37,0.624,0.798,0.368,0.465,0.777,0.769,0.541,0.923,23.074,17.551,5.523,8.369,9.324,5.38,15.687,7.386
9813,2019,4427596,Steve Jenkins,WR,UNLV,Mountain West,37,0.663,0.608,2.657,0.413,0.862,0.742,0.622,0.707,24.531,21.874,2.657,5.784,12.071,6.677,11.809,12.723
9910,2019,4367186,Chase Cota,WR,UCLA,Pac-12,37,0.737,0.737,NA,0.642,0.137,1.152,0.64,0.864,27.267,27.267,NA,9.637,1.237,13.823,13.446,13.821
10030,2019,4242355,Jake Ferguson,TE,Wisconsin,Big Ten,37,0.859,0.859,NA,0.564,0.373,1.469,0.858,0.86,31.781,31.781,NA,9.587,2.986,16.159,18.876,12.905
10178,2019,4360739,Simi Fehoko,WR,Stanford,Pac-12,37,1.033,1.033,NA,0.585,0.824,1.505,0.686,1.604,38.233,38.233,NA,6.437,12.354,15.048,15.778,22.455
10231,2019,4372016,Jaylen Waddle,WR,Alabama,SEC,37,1.108,1.137,0.043,0.944,1.528,0.975,1.098,1.131,40.988,40.945,0.043,18.881,15.282,6.824,28.55,12.437
10302,2019,4239969,Benjamin Waters,WR,Air Force,Mountain West,37,1.302,1.53,-0.158,1.498,1.673,-0.011,0.969,1.585,48.174,48.963,-0.79,16.473,31.779,-0.078,16.469,31.705
12,2013,545910,Logan Woodside,QB,Toledo,Mid-American,36,0.042,0.042,NA,0.067,0.018,0.031,-0.021,0.112,1.496,1.496,NA,0.869,0.128,0.498,-0.404,1.9
327,2014,551153,Gregory Hogan,WR,New Mexico State,FBS Independents,36,0.39,0.39,NA,0.588,-0.017,0.701,0.762,-0.076,14.027,14.027,NA,6.465,-0.22,7.714,15.236,-1.209
619,2015,546345,Brice Ramsey,QB,Georgia,SEC,36,-0.028,-0.028,NA,-0.496,-0.053,0.621,-0.382,0.289,-1,-1,NA,-5.948,-0.695,6.208,-6.496,5.496
676,2015,3915115,Jordan Scarlett,RB,Florida,SEC,36,0.03,-0.784,0.078,-0.064,0.172,0.272,0.114,-0.262,1.092,-1.567,2.659,-1.027,2.749,0.544,3.185,-2.092
889,2015,545228,Donovan Wilson,RB,Bowling Green,Mid-American,36,0.232,-0.453,0.251,-0.122,0.247,0.626,0.262,-0.104,8.345,-0.453,8.797,-1.581,3.211,5.636,8.656,-0.311
931,2015,550282,Devin Ross,WR,Colorado,Pac-12,36,0.277,0.271,0.371,0.3,-0.194,0.77,0.385,0.085,9.955,9.213,0.742,4.494,-1.942,7.701,8.855,1.101
970,2015,3125293,Justin Holmes,WR,San José State,Mountain West,36,0.322,0.322,NA,0.056,-0.391,1.374,-0.112,0.755,11.583,11.583,NA,0.562,-5.468,16.488,-2.009,13.592
1150,2015,3122667,Charles Nelson,WR,Oregon,Pac-12,36,0.564,0.417,1.3,0.818,0.629,-0.058,0.535,0.621,20.298,12.498,7.8,13.906,7.551,-0.346,12.84,7.458
1561,2016,3129259,Demarcus Kirk,RB,Georgia State,Sun Belt,36,-0.15,-0.084,-0.151,-0.062,-0.385,-0.307,-0.153,-0.035,-5.385,-0.084,-5.302,-1.358,-4.23,-0.614,-5.35,-0.035
1649,2016,3129224,Tez Parks,RB,Southern Mississippi,Conference USA,36,-0.013,-0.817,0.088,-0.088,-0.147,-0.137,-0.053,0.078,-0.46,-3.27,2.809,-1.404,-1.916,-0.687,-1.314,0.854
1851,2016,4036224,Jake Funk,RB,Maryland,Big Ten,36,0.118,0.783,-0.043,-0.11,-0.144,1.133,0,0.327,4.245,5.483,-1.238,-1.322,-2.021,9.067,-0.008,4.253
2111,2016,4035470,Tavien Feaster,RB,Clemson,ACC,36,0.266,NA,0.266,0.081,0.262,0.387,0.28,0.228,9.571,NA,9.571,1.375,3.665,1.548,7.292,2.279
2343,2016,4040677,Marquez McNair,WR,UT San Antonio,Conference USA,36,0.433,0.483,-1.317,-0.119,-0.18,1.078,0.17,0.668,15.575,16.892,-1.317,-1.306,-1.438,18.319,2.887,12.688
2348,2016,3932350,Moroni Laulu-Pututau,TE,BYU,FBS Independents,36,0.436,0.436,NA,0.112,0.716,0.479,0.138,1.21,15.685,15.685,NA,1.344,8.597,5.744,3.582,12.103
2571,2016,3122818,Tommy Sweeney,TE,Boston College,ACC,36,0.627,0.644,0.022,0.581,0.537,0.885,0.606,0.655,22.559,22.537,0.022,10.461,3.762,7.967,12.735,9.825
2761,2016,3931425,Shun Brown,WR,Arizona,Pac-12,36,0.932,0.95,0.311,1.019,1.014,0.587,1.095,0.751,33.567,33.256,0.311,13.242,16.217,4.108,20.806,12.761
3111,2017,4045724,Robert Washington,RB,Charlotte,Conference USA,36,-0.279,-2.147,-0.109,-0.136,-0.218,-0.086,-0.353,-0.088,-10.051,-6.44,-3.611,-2.039,-3.713,-0.258,-9.174,-0.877
3171,2017,3124518,Deron Thompson,RB,Kansas,Big 12,36,-0.17,-0.118,-0.185,-0.193,-0.166,0.03,-0.15,-0.231,-6.127,-0.946,-5.18,-3.092,-1.823,0.24,-4.048,-2.078
3380,2017,4244733,Markice Hurt,RB,Ball State,Mid-American,36,-0.005,0,-0.006,-0.217,0.071,0.793,0.075,-0.244,-0.167,-0.001,-0.166,-3.681,1.135,2.38,2.029,-2.196
3654,2017,3116623,Clinton Lynch,RB,Georgia Tech,ACC,36,0.108,-0.137,0.178,0.116,0.041,-0.674,0.052,0.389,3.896,-1.099,4.995,1.861,0.534,-3.372,1.563,2.333
3722,2017,551351,Taylor Alie,QB,Oregon,Pac-12,36,0.135,-0.051,0.786,0.066,-0.017,0.37,0.285,-0.166,4.851,-1.44,6.29,0.66,-0.244,4.435,6.845,-1.994
3745,2017,3138752,Rob Ritrovato,FB,Temple,American Athletic,36,0.143,NA,0.143,0.237,-0.053,0.37,0.25,-0.299,5.158,NA,5.158,4.743,-0.695,1.111,7.249,-2.091
3776,2017,3120055,Brooks Barden,QB,Charlotte,Conference USA,36,0.155,0.082,0.516,0.205,0.196,0.093,0.014,0.312,5.569,2.473,3.096,2.255,2.158,1.203,0.266,5.302
3852,2017,4035654,Riley Lees,WR,Northwestern,Big Ten,36,0.183,0.297,-0.723,0.338,0.22,0.267,0.035,0.416,6.598,9.49,-2.891,5.406,1.541,2.136,0.777,5.821
3906,2017,546651,Rachid Ibrahim,RB,Wisconsin,Big Ten,36,0.203,0.822,0.026,-0.068,0.159,0.686,0.029,0.55,7.302,6.574,0.728,-0.947,2.072,6.177,0.704,6.598
3915,2017,4035576,T.J. Hammonds,RB,Arkansas,SEC,36,0.206,0.783,0.134,0.526,-0.522,NA,0.249,-0.145,7.405,3.132,4.273,13.152,-5.747,NA,7.983,-0.578
4124,2017,3116703,Brandon Fritts,TE,North Carolina,ACC,36,0.282,0.405,-4.017,-0.307,1.261,0.653,-0.023,0.891,10.15,14.167,-4.017,-4.299,7.569,8.49,-0.545,10.694
4129,2017,559678,Ravian Pierce,TE,Syracuse,ACC,36,0.284,0.237,1.911,0.559,0.084,2.213,0.185,0.629,10.212,8.3,1.911,7.272,1.42,8.85,5.182,5.03
4174,2017,4259979,Lynn Bowden Jr.,WR,Kentucky,SEC,36,0.304,0.439,0.064,-0.128,0.434,1.112,-0.038,0.909,10.931,10.1,0.83,-2.312,4.345,8.897,-0.881,11.811
4187,2017,4049787,Jordan McCray,WR,South Alabama,Sun Belt,36,0.309,0.355,-1.293,-0.056,0.449,0.645,0.599,0.145,11.134,12.427,-1.293,-0.391,6.286,9.03,7.792,3.342
4376,2017,546602,Eric Cooper,WR,Central Michigan,Mid-American,36,0.391,0.391,NA,0.435,0.412,0.232,0.563,0.002,14.092,14.092,NA,6.529,6.174,1.39,14.066,0.027
4560,2017,3929848,DeAndre McNeal,WR,Florida Atlantic,Conference USA,36,0.484,0.484,NA,0.499,0.258,0.513,0.434,0.555,17.432,17.432,NA,6.481,3.093,5.125,9.104,8.328
4600,2017,4044520,Brennon Dingle,WR,UMass,FBS Independents,36,0.506,0.595,-0.478,0.346,1.465,0.376,0.522,0.481,18.213,19.648,-1.435,5.538,11.72,3.38,11.476,6.737
4628,2017,3123746,Monteo Garrett,RB,Georgia Southern,Sun Belt,36,0.522,0.943,0.484,0.16,0.787,0.868,0.149,1.493,18.797,2.829,15.969,2.554,11.019,4.338,3.863,14.934
4660,2017,3124024,Evan Butts,TE,Virginia,ACC,36,0.538,0.538,NA,0.447,0.561,0.657,0.454,0.622,19.383,19.383,NA,5.815,8.971,4.597,8.178,11.204
4927,2017,551091,Jeff Badet,WR,Oklahoma,Big 12,36,0.727,0.873,-0.179,0.54,1.249,0.416,0.505,1.393,26.168,27.065,-0.897,12.427,12.494,1.248,13.628,12.54
5220,2017,3916927,Will Hastings,WR,Auburn,SEC,36,1.193,1.193,NA,1.552,0.834,1.145,1.595,0.833,42.946,42.946,NA,18.62,10.844,11.451,27.116,15.83
5802,2018,4240710,A.J. Davis,RB,Pittsburgh,ACC,36,-0.031,0.178,-0.057,-0.115,0.122,-0.389,-0.136,0.287,-1.101,0.714,-1.815,-2.417,1.706,-0.389,-3.685,2.584
6007,2018,4260219,Sean Savoy,WR,Virginia Tech,ACC,36,0.067,0.211,-0.53,-0.07,0.167,0.116,-0.047,0.195,2.415,6.123,-3.709,-0.916,2.166,1.165,-0.896,3.311
6012,2018,3895848,Chad Hanaoka,RB,Northwestern,Big Ten,36,0.07,-0.101,0.192,0.194,0.106,-0.014,0.179,-0.017,2.513,-1.522,4.035,2.138,0.635,-0.26,2.857,-0.344
6196,2018,4036599,Kayin White,RB,Louisiana Monroe,Sun Belt,36,0.145,0.188,0.125,-0.11,0.565,0.102,0.183,-0.096,5.203,2.072,3.131,-2.09,6.783,0.509,5.683,-0.48
