"","season","id","name","position","team","conference","usage.overall","usage.pass","usage.rush","usage.firstDown","usage.secondDown","usage.thirdDown","usage.standardDowns","usage.passingDowns"
"57",2014,"3124979","Larry Rose III","RB","New Mexico State","FBS Independents",0.2303,0.0588,0.4085,0.2653,0.2400,0.1570,0.2780,0.1380
"58",2014,"550339","Nick Holley","QB","Kent State","Mid-American",0.2273,0.0885,0.4843,0.2548,0.2680,0.0940,0.2790,0.1380
"59",2014,"3126072","A.J. Ouellette","RB","Ohio","Mid-American",0.2198,0.0644,0.3681,0.2418,0.2470,0.1500,0.2600,0.1330
"60",2014,"3134012","Nick Wilson","RB","Arizona","Pac-12",0.2156,0.0236,0.4411,0.2843,0.1760,0.1590,0.2630,0.1210
"61",2014,"3116642","Reggie Bonnafon","RB","Louisville","ACC",0.1983,0.2985,0.1043,0.1708,0.2090,0.2670,0.1510,0.2830
"62",2014,"3125353","Kent Myers","QB","Utah State","Mountain West",0.1919,0.3202,0.0857,0.1447,0.2140,0.2760,0.1590,0.2530
"63",2014,"3123212","Ray Lawry","RB","Old Dominion","Conference USA",0.1879,0.0374,0.4088,0.2673,0.0940,0.1430,0.2370,0.0800
"64",2014,"3128840","Alex Gardner","RB","Florida International","Conference USA",0.1771,0.0469,0.2768,0.2169,0.1960,0.1000,0.2100,0.1200
"65",2014,"545762","Sherman Badie","RB","Tulane","American Athletic",0.1752,0.0683,0.3085,0.2371,0.1820,0.0560,0.2180,0.1050
"66",2014,"545681","Shane Tucker","RB","Middle Tennessee","Conference USA",0.1561,0.1037,0.1978,0.1506,0.1720,0.1590,0.1700,0.1210
"67",2014,"3123969","Ito Smith","RB","Southern Mississippi","Conference USA",0.1553,0.0286,0.3646,0.1856,0.1600,0.1030,0.1880,0.1070
"68",2014,"550637","Jamal Morrow","RB","Washington State","Pac-12",0.1538,0.0876,0.4229,0.1808,0.1720,0.0810,0.1780,0.1030
"69",2014,"3126246","Dontrell Hilliard","RB","Tulane","American Athletic",0.1490,0.0705,0.2473,0.1971,0.1610,0.0670,0.1760,0.1050
"70",2014,"552330","DaeSean Hamilton","WR","Penn State","Big Ten",0.1444,0.2419,0.0229,0.1637,0.1570,0.1090,0.1420,0.1490
"71",2014,"3124095","Isaiah Robinson","RB","Wake Forest","ACC",0.1410,0.0260,0.2957,0.1710,0.1430,0.1130,0.1620,0.1100
"72",2014,"551063","Jordan Chunn","RB","Troy","Sun Belt",0.1398,0.0164,0.2506,0.1303,0.1340,0.1370,0.1590,0.1050
"73",2014,"550316","Lavon Coleman","RB","Washington","Pac-12",0.1387,0.0307,0.2266,0.1492,0.1600,0.1070,0.1600,0.0960
"74",2014,"548467","Terrence Upshaw","RB","Appalachian State","Sun Belt",0.1350,0.0262,0.2124,0.1771,0.1230,0.0670,0.1510,0.1000
"75",2014,"3125361","LaJuan Hunt","RB","Utah State","Mountain West",0.1287,0.0197,0.2270,0.1602,0.1190,0.0880,0.1570,0.0750
"76",2014,"3115915","Mike Dudek","WR","Illinois","Big Ten",0.1240,0.2078,0.0163,0.0930,0.1210,0.1980,0.0920,0.1860
"77",2014,"552882","George Payne","RB","Southern Mississippi","Conference USA",0.1211,0.0242,0.2813,0.1257,0.1110,0.1350,0.1730,0.0450
"78",2014,"3126113","Terry Swanson","RB","Toledo","Mid-American",0.1142,0.0242,0.1838,0.1213,0.1280,0.0840,0.1260,0.0830
"79",2014,"3139033","Mike Boone","RB","Cincinnati","American Athletic",0.1140,0.0173,0.2373,0.1480,0.1120,0.0500,0.1420,0.0480
"80",2014,"3116407","Mason Rudolph","QB","Oklahoma State","Big 12",0.1080,0.2106,0.0154,0.0856,0.1190,0.1470,0.0930,0.1360
"81",2014,"549508","Sam Craft","WR","Memphis","American Athletic",0.1068,0.0542,0.1499,0.1338,0.1080,0.0640,0.1230,0.0720
"82",2014,"3128800","Demario Richard","RB","Arizona State","Pac-12",0.1030,0.0353,0.1748,0.1301,0.1000,0.0690,0.1200,0.0680
"83",2014,"554948","Johnston White","RB","Arkansas State","Sun Belt",0.1023,0.0213,0.1765,0.1176,0.0950,0.0880,0.1240,0.0590
"84",2014,"3116563","Shaun Wilson","RB","Duke","ACC",0.1012,0.0487,0.1560,0.1075,0.1280,0.0680,0.1060,0.0900
"85",2014,"3127374","Robert Martin","RB","Rutgers","Big Ten",0.0998,0.0054,0.1794,0.1196,0.1090,0.0540,0.1260,0.0420
"86",2014,"550214","Jared Murphy","WR","Miami (OH)","Mid-American",0.0969,0.1372,0.0331,0.0778,0.1230,0.1100,0.0930,0.1030
"87",2014,"3125315","Devonte Boyd","WR","UNLV","Mountain West",0.0952,0.1708,0.0025,0.0983,0.1060,0.0830,0.0960,0.0930
"88",2014,"550667","Michael Adkins II","RB","Colorado","Pac-12",0.0940,0.0272,0.1848,0.1175,0.0980,0.0500,0.1130,0.0520
"89",2014,"546764","Xavier Johnson","RB","South Alabama","Sun Belt",0.0933,0.0149,0.1670,0.1167,0.1050,0.0400,0.1110,0.0560
"90",2014,"3122757","Jarred Craft","RB","Louisiana Tech","Conference USA",0.0930,0.0092,0.1825,0.1036,0.1190,0.0400,0.1030,0.0720
"91",2014,"550277","Phillip Lindsay","RB","Colorado","Pac-12",0.0920,0.0254,0.1825,0.1127,0.0800,0.0800,0.1090,0.0550
"92",2014,"3128846","Napoleon Maxwell","RB","Florida International","Conference USA",0.0908,0.0217,0.1436,0.1029,0.0910,0.0730,0.0900,0.0920
"93",2014,"545319","Cam Serigne","TE","Wake Forest","ACC",0.0888,0.1608,0.0000,0.0871,0.0980,0.0850,0.0830,0.0970
"94",2014,"3125801","Devon Spalding","RB","Central Michigan","Mid-American",0.0880,0.0103,0.1545,0.1125,0.0780,0.0500,0.1130,0.0280
"95",2014,"3122166","Dallas Rivers","RB","Vanderbilt","SEC",0.0880,0.0105,0.1727,0.1015,0.0780,0.0850,0.1100,0.0440
"96",2014,"3128390","Allen Lazard","WR","Iowa State","Big 12",0.0857,0.1461,0.0000,0.0761,0.0710,0.1340,0.0780,0.1010
