Rk,Player,Year,Class,School,G,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD
664,Starling Thomas,2019,SO,UAB,10,2,31,15.5,0
665,Art Thompkins,2019,SR,Connecticut,12,34,737,21.7,0
666,Bentavious Thompson,2019,SO,UCF,11,2,31,15.5,0
667,Tre Tucker,2019,FR,Cincinnati,13,23,532,23.1,0
668,Victor Tucker,2019,SO,UNC Charlotte,11,5,53,10.6,0
669,Jordan Wayne-Prather,2019,SR,Bowling Green State,6,5,70,14,0
670,Hutch White,2019,SR,Texas State,12,4,98,24.5,0
671,Donovan Williams,2019,SR,Connecticut,4,1,14,14,0
672,Marlon Williams,2019,JR,UCF,11,2,42,21,0
673,Zamore Zigler,2019,SR,San Jose State,10,16,344,21.5,0
674,Justice Augafa,2019,SR,Hawaii,6,6,113,18.8,0
675,Gary Brightwell,2019,JR,Arizona,10,3,39,13,0
676,Cedric Byrd,2019,SR,Hawaii,14,1,24,24,0
677,Tyrie Cleveland,2019,SR,Florida,11,4,103,25.8,0
678,Tayvian Cunningham,2019,JR,Arizona,12,7,138,19.7,0
679,Deejay Dallas,2019,JR,Miami (FL),10,1,13,13,0
680,Mike Harley,2019,JR,Miami (FL),12,1,13,13,0
681,Jamarye Joiner,2019,FR,Arizona,12,2,46,23,0
682,K.J. Osborn,2019,SR,Miami (FL),12,9,185,20.6,0
683,Paul Scott,2019,SO,Hawaii,13,1,13,13,0
684,Melquise Stovall,2019,JR,Hawaii,6,14,384,27.4,0
685,Freddie Swain,2019,SR,Florida,11,2,39,19.5,0
686,J.J. Taylor,2019,JR,Arizona,11,19,448,23.6,0
687,Jeff Thomas,2019,JR,Miami (FL),10,12,268,22.3,0
688,Nathan Tilford,2019,SO,Arizona,8,1,7,7,0
689,Kadarius Toney,2019,JR,Florida,6,1,21,21,0
690,JoJo Ward,2019,SR,Hawaii,13,2,31,15.5,0
691,Dominico Monsion,2018,FR,Connecticut,1,2,20,10,0
692,Max Richmond,2018,SR,Washington,1,1,6,6,0
693,Ryan Schmidt,2018,JR,Iowa,1,1,22,22,0
694,Jacob Copeland,2018,FR,Florida,1,1,26,26,0
695,Hudson Hall,2018,JR,Kansas,1,1,10,10,0
696,Xavier Smith,2018,FR,East Carolina,3,1,0,0,0
697,Blake Watson,2018,FR,Old Dominion,1,1,18,18,0
698,Nick Kovacs,2018,FR,Toledo,1,1,0,0,0
699,Dylan Koch,2018,SO,Ball State,1,1,3,3,0
700,Phillip Brooks,2018,FR,Kansas State,2,3,56,18.7,0
701,Jackson Burrill,2018,SO,San Jose State,2,1,10,10,0
702,Deion Hair-Griffin,2018,SO,North Texas,2,3,61,20.3,0
703,T.J. Jackson,2018,SO,Virginia Tech,1,1,5,5,0
704,Oakley Lavallii,2018,SO,Central Michigan,1,1,18,18,0
705,John Lilly,2018,SO,Texas State,1,1,10,10,0
706,Ahrod Lloyd,2018,FR,Indiana,1,1,22,22,0
707,A'Jon Vivens,2018,FR,Colorado State,1,2,41,20.5,0
708,Jai Williams,2018,FR,Coastal Carolina,1,4,54,13.5,0
709,Darius Bracy,2018,FR,Central Michigan,3,2,45,22.5,0
710,Praise Okorie,2018,SO,Louisiana Tech,3,7,130,18.6,0
711,James Trussell,2018,JR,Purdue,1,1,0,0,0
712,Jaylon Watson,2018,JR,Wyoming,1,1,3,3,0
713,Audley Isaacs,2018,FR,Temple,2,1,0,0,0
714,Malik Knowles,2018,FR,Kansas State,3,1,12,12,0
715,Andrew Lawson,2018,SO,Old Dominion,1,1,0,0,0
716,Austin Roberts,2018,SR,Illinois,3,1,5,5,0
717,Logan Thimons,2018,SO,West Virginia,1,1,0,0,0
718,Ricky Brookins,2018,SR,Indiana,3,4,54,13.5,0
719,Jonathan Carson,2018,SR,Central Michigan,4,1,0,0,0
720,Richaud Floyd,2018,JR,Missouri,3,3,56,18.7,0
721,Keyshawn Helton,2018,FR,Florida State,6,9,196,21.8,0
722,Brenden Knox,2018,FR,Marshall,6,1,2,2,0
723,Bruce Miller,2018,SR,Maryland,1,1,7,7,0
724,Devin Miller,2018,FR,Marshall,3,1,2,2,0
725,Tito Overton,2018,SO,Buffalo,2,3,51,17,0
726,JJ Peterson,2018,FR,Tennessee,2,1,7,7,0
727,Myles Washington,2018,JR,Kent State,3,1,12,12,0
728,Tyler Allgeier,2018,FR,Brigham Young,3,2,57,28.5,0
729,Patrick Elima-Jeune,2018,FR,Fresno State,3,3,41,13.7,0
730,James Fagan,2018,SO,Old Dominion,1,1,13,13,0
731,Sione Finau,2018,FR,Brigham Young,2,1,8,8,0
732,Coleman Fox,2018,JR,Virginia Tech,5,3,64,21.3,0
733,Jeremiah Knight,2018,FR,Akron,8,16,245,15.3,0
734,Kris Leach,2018,SO,Western Kentucky,3,3,18,6,0
735,Darius Pittman,2018,SO,Purdue,2,1,0,0,0
736,Starling Thomas,2018,FR,UAB,5,2,75,37.5,0
737,Bobby Walker,2018,JR,Illinois,2,1,8,8,0
738,Mikale Wilbon,2018,SR,Nebraska,3,1,3,3,0
739,Colton Beebe,2018,JR,Minnesota,2,2,29,14.5,0
740,Jeffery Farrar,2018,SR,South Florida,2,1,3,3,0
741,Jay Rose,2018,SO,Connecticut,2,1,10,10,0
742,Cody Rudy,2018,SO,Ball State,3,1,0,0,0
743,Ryan Schadler,2018,SR,Kansas,2,1,24,24,0
744,Devonte Young,2018,JR,Iowa,3,2,42,21,0
745,Tyler Harrell,2018,FR,Louisville,2,3,71,23.7,0
746,Sam Crawford Jr.,2018,SO,Tulsa,6,15,252,16.8,0
747,Jordan Brooks-Wess,2018,FR,SMU,2,2,118,59,0
748,Perry Carter,2018,FR,Louisiana-Monroe,3,1,28,28,0
749,Samuel Emilus,2018,FR,Massachusetts,6,6,114,19,0
750,Miller Forristall,2018,SO,Alabama,2,2,5,2.5,0
751,De'Marco Guidry,2018,FR,Texas-San Antonio,5,1,16,16,0
752,Cannon Maki,2018,SR,North Texas,1,1,11,11,0
753,Ja'Veon Marlow,2018,FR,Vanderbilt,3,1,10,10,0
754,JC Rispress,2018,FR,SMU,4,1,0,0,0
755,Avery Showell,2018,FR,Georgia Tech,2,1,14,14,0
756,NaJee Thompson,2018,FR,Georgia Southern,7,1,18,18,0
757,C.J. Thorpe,2018,FR,Penn State,4,1,10,10,0
758,Jaron Woodyard,2018,JR,Nebraska,3,4,50,12.5,0
759,Austin Ajiake,2018,FR,Nevada-Las Vegas,5,1,9,9,0
760,Jake Bobo,2018,FR,Duke,9,1,19,19,0
761,Jacione Fugate,2018,SO,UNC Charlotte,2,1,11,11,0
762,Tre'Shaun Harrison,2018,FR,Florida State,7,4,75,18.8,0
763,Cortez Hogans,2018,FR,Northern Illinois,3,1,0,0,0
764,Tanner Jacobson,2018,SR,Brigham Young,8,2,36,18,0
765,Johnnie Lang,2018,FR,Iowa State,9,4,50,12.5,0
766,Paul Lucas,2018,JR,Arizona State,5,6,127,21.2,0
767,Wyatt Mazour,2018,JR,Nebraska,5,3,48,16,0
768,Darius Philon,2018,JR,Florida International,2,3,54,18,0
769,Mychale Salahuddin,2018,FR,Pittsburgh,2,2,26,13,0
770,Michael Sam,2018,JR,Louisiana Tech,8,8,175,21.9,0
771,Peyton Sawyer,2018,FR,Houston,1,1,29,29,0
772,Jamal Turner,2018,FR,Toledo,3,1,7,7,0
773,Kaegun Williams,2018,FR,San Diego State,4,1,22,22,0
774,Dre Brown,2018,JR,Illinois,6,15,330,22,0
775,Nate Hobbs,2018,SO,Illinois,9,2,27,13.5,0
776,David Fitzwater,2018,SO,Tulsa,2,2,4,2,0
777,Brenden Bates,2018,FR,Kentucky,1,1,0,0,0
778,Ryan Bay,2018,JR,Oregon,7,2,16,8,0
779,Chase Blakley,2018,SR,Boise State,7,1,19,19,0
780,Hunter Buczkowski,2018,SR,Central Michigan,6,3,30,10,0
781,Ian Bunting,2018,SR,California,6,1,5,5,0
782,Riley Burt,2018,JR,Brigham Young,9,1,13,13,0
783,Jordan Byrd,2018,FR,San Diego State,8,8,146,18.3,0
784,Dasean Cannon,2018,SR,Florida Atlantic,1,1,32,32,0
785,Gary Cross,2018,SR,Arkansas,2,2,39,19.5,0
786,Malcolm Davidson,2018,FR,Florida Atlantic,3,2,56,28,0
787,Malik Dear,2018,JR,Mississippi State,3,2,54,27,0
788,Demetric Felton,2018,SO,UCLA,9,5,105,21,0
789,Tucker Fisk,2018,SO,Stanford,1,1,3,3,0
790,Rico Frye,2018,FR,Bowling Green State,10,2,19,9.5,0
791,Scooter Harrington,2018,JR,Stanford,3,1,8,8,0
792,Isaiah Harris,2018,SO,Kansas State,4,1,11,11,0
793,Jesiah Irish,2018,FR,Oregon State,3,4,80,20,0
794,Jonnie Lee,2018,SO,Navy,1,1,12,12,0
795,Rayshad Lewis,2018,SO,Maryland,10,7,146,20.9,0
796,Dorian Maddox,2018,JR,Stanford,6,3,62,20.7,0
797,Charles McClelland,2018,FR,Cincinnati,9,6,93,15.5,0
798,Shamar Munroe,2018,FR,Florida International,5,1,16,16,0
799,Tyler Page,2018,SO,SMU,8,1,21,21,0
800,Julian Ross,2018,SO,Ohio,3,11,253,23,0
801,Drew Singleton,2018,SO,Michigan,1,1,5,5,0
802,Khameron Taylor,2018,SO,South Alabama,6,3,23,7.7,0
803,Leonard Taylor,2018,FR,Cincinnati,3,1,9,9,0
804,Johnathan Thomas,2018,SR,Penn State,5,3,113,37.7,0
805,Zaquandre White,2018,FR,Florida State,6,1,20,20,0
806,Michael Young,2018,SO,Notre Dame,7,9,191,21.2,0
807,Floyd Allen,2018,SR,Ole Miss,3,1,10,10,0
808,Brandius Batiste,2018,SO,Louisiana-Monroe,6,3,51,17,0
809,Christian Beal,2018,FR,Wake Forest,10,1,20,20,0
810,Brady Bodine,2018,SR,North Carolina State,10,1,0,0,0
811,Juleion Bowers,2018,FR,UTEP,4,2,49,24.5,0
812,Bryce Bramscher,2018,FR,Oregon State,1,2,5,2.5,0
